language,crawl_date,0
bn,20200402,1
bn,20200403,7
bn,20200404,9
bn,20200405,2
bn,20200406,1
bn,20200407,6
bn,20200408,5
bn,20200409,43
bn,20200410,38
bn,20200411,39
bn,20200412,35
bn,20200413,61
bn,20200414,61
bn,20200415,44
bn,20200416,5
bn,20200417,21
bn,20200418,18
bn,20200419,33
bn,20200420,160
bn,20200421,15
bn,20200422,16
bn,20200423,35
bn,20200424,136
bn,20200425,74
bn,20200426,34
bn,20200429,5
bn,20200430,14
bn,20200501,19
bn,20200502,35
bn,20200503,19
bn,20200504,3
bn,20200505,22
bn,20200506,40
bn,20200507,44
bn,20200508,15
bn,20200509,67
bn,20200510,80
bn,20200511,116
bn,20200512,106
bn,20200513,28
bn,20200515,12
bn,20200516,5
bn,20200518,1
bn,20200522,4
bn,20200523,7
bn,20200526,2
bn,20200529,1
bn,20200616,1
bn,20200617,3
bn,20200618,7
bn,20200620,1
bn,20200717,1
bn,20200720,1
bn,20200722,9
bn,20200723,32
bn,20200724,26
bn,20200725,2
bn,20200727,5
bn,20200728,1
bn,20200806,4
bn,20200810,8
bn,20200811,3
bn,20200824,11
bn,20200825,10
bn,20200908,2
bn,20200923,3
bn,20200925,5
bn,20201009,1
bn,20201016,4
bn,20201024,6
bn,20201027,80
bn,20201117,68
bn,20201118,3328
bn,20201119,2206
bn,20201202,1
bn,20201218,5
bn,20201219,25
bn,20201221,1
bn,20201222,86
bn,20201223,2
bn,20201224,8
bn,20210129,35
bn,20210130,727
bn,20210131,199
bn,20210215,16
bn,20210216,55
bn,20210225,1
bn,20210226,1
bn,20210301,3
bn,20210305,2
bn,20210306,31
bn,20210308,3
bn,20210309,136
bn,20210310,113
bn,20210315,1
bn,20210319,4
bn,20210402,1
bn,20210412,62
bn,20210413,3648
bn,20210414,1261
bn,20210415,19
bn,20210422,6
bn,20210423,40
bn,20210424,53
bn,20210516,1
bn,20210518,1
bn,20210620,1
bn,20210701,279
bn,20210702,3017
bn,20210703,5038
bn,20210704,1482
bn,20210705,8
bn,20210706,10
bn,20210712,1
bn,20210716,1
bn,20210717,1
bn,20210723,1
br,20200221,67
br,20200222,87
br,20200223,6
br,20200224,9
br,20200225,2
br,20200226,2
br,20200305,2
br,20200306,7
br,20200307,2
br,20200309,1
br,20200310,2
br,20200314,6
br,20200315,45
br,20200316,5
br,20200317,19
br,20200319,7
br,20200320,15
br,20200321,33
br,20200322,9
br,20200323,8
br,20200324,19
br,20200325,75
br,20200326,3
br,20200327,10
br,20200328,15
br,20200329,16
br,20200330,26
br,20200331,7
br,20200402,3
br,20200403,14
br,20200404,22
br,20200405,14
br,20200406,2
br,20200407,9
br,20200408,168
br,20200409,29
br,20200410,38
br,20200411,22
br,20200412,15
br,20200413,7
br,20200414,9
br,20200415,1
br,20200416,2
br,20200417,6
br,20200418,10
br,20200419,6
br,20200420,6
br,20200421,5
br,20200424,12
br,20200425,3
br,20200429,3
br,20200430,8
br,20200501,8
br,20200502,14
br,20200505,1
br,20200508,9
br,20200509,1
br,20200514,2
br,20200515,2
br,20200516,20
br,20200518,1
br,20200522,27
br,20200523,7
br,20200527,1
br,20200529,6
br,20200611,1
br,20200612,16
br,20200616,4
br,20200617,3
br,20200625,15
br,20200706,3
br,20200707,5
br,20200715,4
br,20200717,3
br,20200722,1
br,20200723,2
br,20200724,2
br,20200725,1
br,20200727,6
br,20200728,10
br,20200729,1
br,20200805,6
br,20200806,3
br,20200810,2
br,20200811,2
br,20200812,1
br,20200824,3
br,20200825,4
br,20200908,3
br,20200923,2
br,20200925,1
br,20201002,1
br,20201010,2
br,20201015,1
br,20201023,1
br,20201027,8
br,20201116,2
br,20201117,9
br,20201123,2
br,20201124,12
br,20201212,4
br,20201216,1
br,20201219,4
br,20201222,7
br,20201223,1
br,20210115,1
br,20210130,5
br,20210215,2
br,20210225,20
br,20210226,10
br,20210305,3
br,20210306,15
br,20210308,3
br,20210309,9
br,20210319,6
br,20210412,1
br,20210413,11
br,20210414,1
br,20210422,7
br,20210423,11
br,20210424,2
br,20210517,2
br,20210620,11
br,20210621,8
br,20210701,2
br,20210702,10
br,20210705,4
br,20210706,1
br,20210712,1
br,20210716,1
br,20210730,1
ca,20200221,422
ca,20200222,646
ca,20200223,101
ca,20200224,61
ca,20200225,30
ca,20200226,19
ca,20200305,44
ca,20200306,30
ca,20200307,10
ca,20200309,10
ca,20200310,17
ca,20200314,71
ca,20200315,432
ca,20200316,123
ca,20200317,318
ca,20200319,30
ca,20200320,40
ca,20200321,156
ca,20200322,312
ca,20200323,356
ca,20200324,274
ca,20200325,74
ca,20200326,63
